
batch 100, time:0.083, loss: 34364.0664, mean_absolute_error: 123.9979
batch 200, time:0.014, loss: 33396.5898, mean_absolute_error: 121.0408
batch 300, time:0.023, loss: 34552.8086, mean_absolute_error: 126.3848
batch 400, time:0.031, loss: 33933.4883, mean_absolute_error: 124.0636
batch 500, time:0.015, loss: 33132.7734, mean_absolute_error: 119.4654
batch 600, time:0.030, loss: 33613.5938, mean_absolute_error: 122.9837
batch 700, time:0.011, loss: 32691.5176, mean_absolute_error: 120.3848
batch 800, time:0.054, loss: 32284.6445, mean_absolute_error: 117.5532
batch 900, time:0.024, loss: 33955.5156, mean_absolute_error: 123.1005
batch 1000, time:0.038, loss: 33590.6484, mean_absolute_error: 121.5818
batch 1100, time:0.085, loss: 32436.6797, mean_absolute_error: 119.3707
batch 1200, time:0.036, loss: 33410.7266, mean_absolute_error: 120.8315
batch 1300, time:0.088, loss: 33270.8477, mean_absolute_error: 121.3208
batch 1400, time:0.026, loss: 33047.1367, mean_absolute_error: 119.6279
batch 1500, time:0.034, loss: 32971.0312, mean_absolute_error: 120.8008
