2025-04-22 22:32:01,509 Train started...
2025-04-22 22:32:01,516 Loading checkpoint: 16, /mydata/deepcloud/yves/A_RadiativeFlux/results/gnn_256_l4/checkpoint_epoch_16.pth
2025-04-22 22:32:02,322 Training will continue from epoch: 16/80
Trainable parameters: 1,388,548
batch 2700, time:0.547, loss: 46.0018, mean_absolute_error: 2.4183
batch 2800, time:0.549, loss: 48.8870, mean_absolute_error: 2.4858
batch 2900, time:0.542, loss: 56.6123, mean_absolute_error: 2.8158
batch 3000, time:0.538, loss: 43.6675, mean_absolute_error: 2.5203
batch 3100, time:0.540, loss: 60.7221, mean_absolute_error: 2.8742
batch 3200, time:0.528, loss: 57.2567, mean_absolute_error: 2.7927
batch 3300, time:0.535, loss: 71.5388, mean_absolute_error: 2.7061
batch 3400, time:0.547, loss: 54.6447, mean_absolute_error: 2.5570
batch 3500, time:0.539, loss: 42.5698, mean_absolute_error: 2.4286
batch 3600, time:0.533, loss: 64.4770, mean_absolute_error: 2.7562
batch 3700, time:0.545, loss: 45.9858, mean_absolute_error: 2.4829
batch 3800, time:0.531, loss: 51.1300, mean_absolute_error: 2.6225
batch 3900, time:0.557, loss: 52.5174, mean_absolute_error: 2.7371
batch 4000, time:0.544, loss: 68.1668, mean_absolute_error: 3.0493
batch 4100, time:0.544, loss: 54.5065, mean_absolute_error: 2.5402
batch 4200, time:0.536, loss: 58.8992, mean_absolute_error: 2.9287
batch 4300, time:0.542, loss: 62.0767, mean_absolute_error: 2.8406
batch 4400, time:0.543, loss: 46.0807, mean_absolute_error: 2.5713
batch 4500, time:0.543, loss: 57.4628, mean_absolute_error: 2.4768
batch 4600, time:0.551, loss: 54.4120, mean_absolute_error: 2.5718
batch 4700, time:0.533, loss: 74.7204, mean_absolute_error: 3.0234
batch 4800, time:0.543, loss: 54.7374, mean_absolute_error: 2.5786
batch 4900, time:0.542, loss: 41.5106, mean_absolute_error: 2.3347
batch 5000, time:0.551, loss: 83.3073, mean_absolute_error: 3.1356
batch 5100, time:0.531, loss: 43.2629, mean_absolute_error: 2.3920
batch 5200, time:0.535, loss: 48.6532, mean_absolute_error: 2.2920
batch 5300, time:0.534, loss: 41.7802, mean_absolute_error: 2.3250
batch 5400, time:0.542, loss: 59.2187, mean_absolute_error: 2.7945
batch 5500, time:0.548, loss: 56.7342, mean_absolute_error: 2.7306
batch 5600, time:0.539, loss: 57.7223, mean_absolute_error: 2.6000
batch 5700, time:0.555, loss: 33.7180, mean_absolute_error: 2.1843
018/80:  time: 5641.454 loss: 54.7922  mean_absolute_error: 2.5792,  val_loss: 56.0526,  val_mean_absolute_error: 2.5856
batch 100, time:0.514, loss: 62.6695, mean_absolute_error: 2.7157
batch 200, time:0.550, loss: 50.9987, mean_absolute_error: 2.5012
batch 300, time:0.542, loss: 80.2859, mean_absolute_error: 2.9960
batch 400, time:0.507, loss: 54.5544, mean_absolute_error: 2.4110
