
2025-04-18 13:09:29,017 Train started...
Trainable parameters: 1,388,548
003/30:  time: 1347.370 loss: 473.3800  mean_absolute_error: 7.8131,  val_loss: 466.1152,  val_mean_absolute_error: 7.6204
batch 100, time:0.141, loss: 472.8882, mean_absolute_error: 7.9468
batch 200, time:0.123, loss: 438.4287, mean_absolute_error: 7.6345
batch 300, time:0.147, loss: 500.2634, mean_absolute_error: 7.7188
batch 400, time:0.151, loss: 512.5749, mean_absolute_error: 7.6123
batch 500, time:0.136, loss: 416.0811, mean_absolute_error: 7.5124
batch 600, time:0.098, loss: 482.4929, mean_absolute_error: 7.9106
batch 700, time:0.141, loss: 573.2211, mean_absolute_error: 8.5329
batch 800, time:0.142, loss: 557.8859, mean_absolute_error: 8.2297
batch 900, time:0.142, loss: 447.0461, mean_absolute_error: 7.2885
batch 1000, time:0.116, loss: 489.4772, mean_absolute_error: 7.6463
batch 1100, time:0.116, loss: 444.7627, mean_absolute_error: 7.8787
batch 1200, time:0.136, loss: 456.5875, mean_absolute_error: 7.6291
batch 1300, time:0.141, loss: 432.2742, mean_absolute_error: 7.5434
batch 1400, time:0.065, loss: 529.6461, mean_absolute_error: 7.9415
batch 1500, time:0.118, loss: 356.8612, mean_absolute_error: 7.1300
batch 1600, time:0.144, loss: 516.0629, mean_absolute_error: 8.2087
batch 1700, time:0.138, loss: 432.1365, mean_absolute_error: 7.5154
batch 1800, time:0.151, loss: 390.6430, mean_absolute_error: 6.8943
batch 1900, time:0.125, loss: 471.3517, mean_absolute_error: 7.9599
batch 2000, time:0.130, loss: 443.1729, mean_absolute_error: 7.0158
batch 2100, time:0.140, loss: 574.3339, mean_absolute_error: 8.1233
batch 2200, time:0.122, loss: 490.1736, mean_absolute_error: 7.2372
batch 2300, time:0.137, loss: 491.8285, mean_absolute_error: 8.1900
batch 2400, time:0.136, loss: 420.0638, mean_absolute_error: 7.2915
batch 2500, time:0.139, loss: 471.2265, mean_absolute_error: 7.8968
batch 2600, time:0.109, loss: 511.5701, mean_absolute_error: 8.1430
batch 2700, time:0.128, loss: 470.8402, mean_absolute_error: 7.7649
batch 2800, time:0.143, loss: 428.2866, mean_absolute_error: 7.4179
004/30:  time: 1336.148 loss: 464.6821  mean_absolute_error: 7.6534,  val_loss: 475.4250,  val_mean_absolute_error: 7.6446
batch 100, time:0.139, loss: 455.4647, mean_absolute_error: 7.6571
batch 200, time:0.128, loss: 622.4016, mean_absolute_error: 8.1358
batch 300, time:0.149, loss: 353.9331, mean_absolute_error: 6.6321
batch 400, time:0.140, loss: 386.9649, mean_absolute_error: 6.9581
batch 500, time:0.142, loss: 422.9840, mean_absolute_error: 7.1950
batch 600, time:0.141, loss: 527.9129, mean_absolute_error: 7.8053
batch 700, time:0.073, loss: 381.3529, mean_absolute_error: 7.0673
batch 800, time:0.131, loss: 460.1208, mean_absolute_error: 7.3793
batch 900, time:0.142, loss: 467.8171, mean_absolute_error: 7.3988
batch 1000, time:0.141, loss: 459.2921, mean_absolute_error: 7.7902
batch 1100, time:0.128, loss: 438.4188, mean_absolute_error: 7.5212
batch 1200, time:0.117, loss: 410.8347, mean_absolute_error: 7.2312
batch 1300, time:0.083, loss: 530.0151, mean_absolute_error: 7.6342
batch 1400, time:0.145, loss: 432.3048, mean_absolute_error: 7.3091
batch 1500, time:0.125, loss: 387.8801, mean_absolute_error: 6.9817
batch 1600, time:0.147, loss: 411.3529, mean_absolute_error: 7.1450
batch 1700, time:0.129, loss: 558.1328, mean_absolute_error: 8.4291
batch 1800, time:0.149, loss: 539.6796, mean_absolute_error: 7.9302
batch 1900, time:0.142, loss: 423.1326, mean_absolute_error: 7.3235
batch 2000, time:0.140, loss: 411.7104, mean_absolute_error: 7.2512
batch 2100, time:0.150, loss: 555.7983, mean_absolute_error: 7.8284
batch 2200, time:0.144, loss: 377.2934, mean_absolute_error: 7.3780
batch 2300, time:0.132, loss: 576.7633, mean_absolute_error: 8.0926
batch 2400, time:0.147, loss: 463.6565, mean_absolute_error: 7.3964
batch 2500, time:0.155, loss: 575.2394, mean_absolute_error: 7.7961
batch 2600, time:0.149, loss: 453.4490, mean_absolute_error: 7.3613
