
Trainable parameters: 184,836
2025-05-07 20:41:37,331 Train started...
batch 10, time:0.158, loss: 1692.7427, mean_absolute_error: 24.4912
batch 20, time:0.157, loss: 1071.9631, mean_absolute_error: 20.4072
batch 30, time:0.157, loss: 492.3003, mean_absolute_error: 12.4635
batch 40, time:0.160, loss: 1051.1956, mean_absolute_error: 17.0577
batch 50, time:0.160, loss: 443.7594, mean_absolute_error: 13.0885
batch 60, time:0.163, loss: 6690.1631, mean_absolute_error: 54.5392
batch 70, time:0.162, loss: 245.2156, mean_absolute_error: 7.7753
batch 80, time:0.159, loss: 765.8884, mean_absolute_error: 19.3144
batch 90, time:0.160, loss: 5234.1011, mean_absolute_error: 53.0910
batch 100, time:0.158, loss: 1019.6400, mean_absolute_error: 18.8077
batch 110, time:0.159, loss: 944.0580, mean_absolute_error: 22.7663
batch 120, time:0.162, loss: 394.8203, mean_absolute_error: 11.7361
batch 130, time:0.160, loss: 3375.2031, mean_absolute_error: 39.2906
batch 140, time:0.159, loss: 373.1457, mean_absolute_error: 11.4478
batch 150, time:0.156, loss: 2979.0837, mean_absolute_error: 35.6067
batch 160, time:0.194, loss: 143.5655, mean_absolute_error: 6.9310
batch 170, time:0.161, loss: 12206.7881, mean_absolute_error: 68.7438
batch 180, time:0.156, loss: 1109.7319, mean_absolute_error: 26.4491
batch 190, time:0.159, loss: 237.5029, mean_absolute_error: 5.7602
batch 200, time:0.160, loss: 7249.7798, mean_absolute_error: 53.8746
batch 210, time:0.160, loss: 158.5983, mean_absolute_error: 5.7000
batch 220, time:0.159, loss: 219.3264, mean_absolute_error: 7.9753
batch 230, time:0.165, loss: 1075.2023, mean_absolute_error: 18.2776
batch 240, time:0.161, loss: 446.7837, mean_absolute_error: 11.8017
batch 250, time:0.161, loss: 1286.2941, mean_absolute_error: 25.4287
batch 260, time:0.161, loss: 3575.8682, mean_absolute_error: 43.3760
batch 270, time:0.163, loss: 198.2008, mean_absolute_error: 7.9791
batch 280, time:0.162, loss: 234.7251, mean_absolute_error: 7.8786
batch 290, time:0.157, loss: 1789.2100, mean_absolute_error: 27.0061
batch 300, time:0.159, loss: 3270.1128, mean_absolute_error: 39.8434
batch 310, time:0.160, loss: 604.0082, mean_absolute_error: 15.8133
batch 320, time:0.158, loss: 386.9583, mean_absolute_error: 11.5498
batch 330, time:0.164, loss: 152.3461, mean_absolute_error: 6.8864
batch 340, time:0.159, loss: 2033.2900, mean_absolute_error: 29.3856
batch 350, time:0.161, loss: 513.6981, mean_absolute_error: 13.3649
batch 360, time:0.159, loss: 141.9987, mean_absolute_error: 6.7429
