
Trainable parameters: 17,732
2025-05-09 11:36:57,060 Train started...
2025-05-09 11:36:57,067 Loading checkpoint: 9, /mydata/deepcloud/yves/A_RadiativeFlux/results/gnn3d_1024_emb32_l3_indep/checkpoint_epoch_9.pth
2025-05-09 11:36:57,179 Training will continue from epoch: 9/30
Created graph with disable_horizontal=True
Vertical edges: 5089280, Horizontal edges: 0
VERIFICATION PASSED: All columns are independent
batch 10, time:0.150, loss: 22.6256, mean_absolute_error: 2.1976
batch 20, time:0.154, loss: 387.9293, mean_absolute_error: 10.3525
batch 30, time:0.153, loss: 17.5821, mean_absolute_error: 1.9565
batch 40, time:0.150, loss: 235.1552, mean_absolute_error: 7.6469
batch 50, time:0.152, loss: 26.5819, mean_absolute_error: 2.4503
batch 60, time:0.155, loss: 138.1028, mean_absolute_error: 5.6481
batch 70, time:0.147, loss: 29.6120, mean_absolute_error: 3.0468
batch 80, time:0.155, loss: 55.2259, mean_absolute_error: 3.7848
batch 90, time:0.154, loss: 284.3113, mean_absolute_error: 9.7072
batch 100, time:0.150, loss: 77.3433, mean_absolute_error: 4.8569
batch 110, time:0.151, loss: 97.1955, mean_absolute_error: 5.2797
batch 120, time:0.156, loss: 200.8724, mean_absolute_error: 7.2516
batch 130, time:0.153, loss: 255.9207, mean_absolute_error: 7.6566
batch 140, time:0.152, loss: 174.0507, mean_absolute_error: 6.4555
batch 150, time:0.153, loss: 267.4830, mean_absolute_error: 7.7948
batch 160, time:0.149, loss: 335.7435, mean_absolute_error: 8.3016
batch 170, time:0.158, loss: 25.6160, mean_absolute_error: 2.5334
batch 180, time:0.154, loss: 42.5447, mean_absolute_error: 3.4697
batch 190, time:0.154, loss: 30.0075, mean_absolute_error: 2.8474
batch 200, time:0.157, loss: 19.5850, mean_absolute_error: 2.4072
batch 210, time:0.156, loss: 382.1095, mean_absolute_error: 10.7316
batch 220, time:0.154, loss: 18.3199, mean_absolute_error: 2.0455
batch 230, time:0.151, loss: 68.2451, mean_absolute_error: 4.2851
batch 240, time:0.153, loss: 155.5885, mean_absolute_error: 6.0736
