
batch 100, time:0.035, loss: 34482.2031, mean_absolute_error: 124.7039
batch 200, time:0.089, loss: 33233.9219, mean_absolute_error: 120.4493
batch 300, time:0.030, loss: 34606.3711, mean_absolute_error: 126.3266
batch 400, time:0.044, loss: 33967.0664, mean_absolute_error: 124.1112
batch 500, time:0.054, loss: 33265.0781, mean_absolute_error: 119.8464
batch 600, time:0.064, loss: 33245.5547, mean_absolute_error: 121.6256
batch 700, time:0.068, loss: 32638.0391, mean_absolute_error: 120.1278
batch 800, time:0.026, loss: 32127.8730, mean_absolute_error: 116.9711
batch 900, time:0.025, loss: 33892.7031, mean_absolute_error: 122.4625
batch 1000, time:0.039, loss: 33610.3398, mean_absolute_error: 121.4385
batch 1100, time:0.046, loss: 32336.1270, mean_absolute_error: 118.6432
batch 1200, time:0.023, loss: 33350.1328, mean_absolute_error: 120.6389
batch 1300, time:0.022, loss: 33304.2109, mean_absolute_error: 121.3638
batch 1400, time:0.043, loss: 32938.3672, mean_absolute_error: 119.4298
batch 1500, time:0.082, loss: 32885.2891, mean_absolute_error: 120.4879
