
2025-04-21 11:16:59,792 Train started...
Trainable parameters: 1,388,548
batch 3000, time:0.557, loss: 69.9187, mean_absolute_error: 3.1433
batch 3100, time:0.545, loss: 88.6430, mean_absolute_error: 4.1316
batch 3200, time:0.540, loss: 101.4737, mean_absolute_error: 3.8855
batch 3300, time:0.553, loss: 121.4152, mean_absolute_error: 4.8140
batch 3400, time:0.539, loss: 74.8130, mean_absolute_error: 3.4451
batch 3500, time:0.550, loss: 62.7405, mean_absolute_error: 3.4911
batch 3600, time:0.547, loss: 77.3939, mean_absolute_error: 3.3277
batch 3700, time:0.550, loss: 54.5712, mean_absolute_error: 3.0370
batch 3800, time:0.537, loss: 70.9772, mean_absolute_error: 3.2247
batch 3900, time:0.552, loss: 71.5812, mean_absolute_error: 3.2550
batch 4000, time:0.550, loss: 77.7344, mean_absolute_error: 3.5179
batch 4100, time:0.543, loss: 66.5803, mean_absolute_error: 3.3499
batch 4200, time:0.536, loss: 72.4401, mean_absolute_error: 3.6327
batch 4300, time:0.553, loss: 75.5401, mean_absolute_error: 3.2994
batch 4400, time:0.543, loss: 74.6767, mean_absolute_error: 3.7694
batch 4500, time:0.535, loss: 66.4051, mean_absolute_error: 3.1820
batch 4600, time:0.556, loss: 71.4359, mean_absolute_error: 3.3073
batch 4700, time:0.546, loss: 93.4965, mean_absolute_error: 4.0556
batch 4800, time:0.555, loss: 76.4202, mean_absolute_error: 3.2989
batch 4900, time:0.540, loss: 59.6543, mean_absolute_error: 3.1683
batch 5000, time:0.541, loss: 99.5837, mean_absolute_error: 3.8209
batch 5100, time:0.543, loss: 56.4492, mean_absolute_error: 3.1281
batch 5200, time:0.544, loss: 60.6201, mean_absolute_error: 3.0921
batch 5300, time:0.541, loss: 49.9350, mean_absolute_error: 2.9112
batch 5400, time:0.558, loss: 62.1294, mean_absolute_error: 3.3780
batch 5500, time:0.537, loss: 67.8556, mean_absolute_error: 3.1963
batch 5600, time:0.551, loss: 64.2599, mean_absolute_error: 3.1077
batch 5700, time:0.536, loss: 38.3606, mean_absolute_error: 2.5800
002/80:  time: 5648.660 loss: 74.0024  mean_absolute_error: 3.4171,  val_loss: 75.5332,  val_mean_absolute_error: 3.4085
batch 100, time:0.551, loss: 74.1604, mean_absolute_error: 3.4043
batch 200, time:0.554, loss: 74.2224, mean_absolute_error: 3.2026
batch 300, time:0.531, loss: 123.4327, mean_absolute_error: 4.3210
batch 400, time:0.543, loss: 62.8425, mean_absolute_error: 2.8724
batch 500, time:0.551, loss: 74.5589, mean_absolute_error: 2.8034
batch 600, time:0.553, loss: 67.7431, mean_absolute_error: 3.3502
batch 700, time:0.531, loss: 81.0266, mean_absolute_error: 3.6116
batch 800, time:0.545, loss: 54.7771, mean_absolute_error: 2.6686
batch 900, time:0.551, loss: 57.4485, mean_absolute_error: 2.9069
batch 1000, time:0.540, loss: 60.0783, mean_absolute_error: 3.0025
batch 1100, time:0.548, loss: 74.4392, mean_absolute_error: 3.4238
batch 1200, time:0.553, loss: 56.5904, mean_absolute_error: 2.7673
batch 1300, time:0.552, loss: 53.5752, mean_absolute_error: 3.7544
batch 1400, time:0.521, loss: 54.3320, mean_absolute_error: 2.8396
batch 1500, time:0.554, loss: 72.3726, mean_absolute_error: 3.2305
batch 1600, time:0.558, loss: 53.8315, mean_absolute_error: 2.9336
batch 1700, time:0.543, loss: 69.1658, mean_absolute_error: 3.1056
batch 1800, time:0.545, loss: 49.0563, mean_absolute_error: 3.1337
batch 1900, time:0.539, loss: 59.0261, mean_absolute_error: 2.9086
batch 2000, time:0.544, loss: 60.6043, mean_absolute_error: 2.9107
batch 2100, time:0.552, loss: 56.8357, mean_absolute_error: 2.9972
batch 2200, time:0.548, loss: 64.7820, mean_absolute_error: 3.2787
batch 2300, time:0.544, loss: 51.4187, mean_absolute_error: 2.7783
batch 2400, time:0.536, loss: 70.1207, mean_absolute_error: 3.3798
batch 2500, time:0.553, loss: 50.2911, mean_absolute_error: 2.9370
batch 2600, time:0.543, loss: 61.6295, mean_absolute_error: 3.2233
batch 2700, time:0.551, loss: 74.5149, mean_absolute_error: 3.1524
batch 2800, time:0.536, loss: 76.6107, mean_absolute_error: 3.3655
batch 2900, time:0.551, loss: 58.1762, mean_absolute_error: 2.9542
batch 3000, time:0.544, loss: 83.3112, mean_absolute_error: 3.4082
batch 3100, time:0.541, loss: 83.3466, mean_absolute_error: 3.7015
batch 3200, time:0.553, loss: 62.7566, mean_absolute_error: 3.1634
batch 3300, time:0.543, loss: 55.1732, mean_absolute_error: 2.9723
batch 3400, time:0.551, loss: 48.7578, mean_absolute_error: 2.7588
batch 3500, time:0.554, loss: 68.8306, mean_absolute_error: 3.3047
batch 3600, time:0.546, loss: 56.3492, mean_absolute_error: 3.4046
batch 3700, time:0.558, loss: 53.9285, mean_absolute_error: 2.8841
batch 3800, time:0.549, loss: 73.3995, mean_absolute_error: 3.1894
batch 3900, time:0.561, loss: 58.2333, mean_absolute_error: 2.8519
batch 4000, time:0.550, loss: 55.5752, mean_absolute_error: 3.1754
batch 4100, time:0.548, loss: 75.2264, mean_absolute_error: 3.1098
batch 4200, time:0.535, loss: 59.7880, mean_absolute_error: 3.1123
batch 4300, time:0.545, loss: 66.1066, mean_absolute_error: 3.0508
batch 4400, time:0.538, loss: 43.1690, mean_absolute_error: 2.7035
batch 4500, time:0.537, loss: 54.4918, mean_absolute_error: 2.6221
batch 4600, time:0.530, loss: 70.2432, mean_absolute_error: 3.2367
batch 4700, time:0.542, loss: 69.1490, mean_absolute_error: 2.9601
batch 4800, time:0.539, loss: 113.2785, mean_absolute_error: 3.6120
batch 4900, time:0.548, loss: 64.9319, mean_absolute_error: 3.3926
batch 5000, time:0.563, loss: 56.9268, mean_absolute_error: 2.9626
batch 5100, time:0.542, loss: 50.2947, mean_absolute_error: 2.8465
batch 5200, time:0.546, loss: 41.7434, mean_absolute_error: 2.5179
batch 5300, time:0.554, loss: 77.0832, mean_absolute_error: 3.3955
batch 5400, time:0.546, loss: 114.7662, mean_absolute_error: 3.5404
batch 5500, time:0.552, loss: 102.4649, mean_absolute_error: 3.7496
batch 5600, time:0.557, loss: 51.1105, mean_absolute_error: 2.8834
batch 5700, time:0.550, loss: 73.9824, mean_absolute_error: 3.2045
003/80:  time: 5647.453 loss: 66.6680  mean_absolute_error: 3.1271,  val_loss: 66.2659,  val_mean_absolute_error: 2.9601
batch 100, time:0.550, loss: 64.3644, mean_absolute_error: 3.2590
batch 200, time:0.554, loss: 83.5552, mean_absolute_error: 3.1654
batch 300, time:0.547, loss: 91.5805, mean_absolute_error: 3.5125
