
Trainable parameters: 12,420
2025-05-07 21:09:47,091 Train started...
batch 10, time:0.064, loss: 19223.9766, mean_absolute_error: 82.9475
batch 20, time:0.060, loss: 5144.5288, mean_absolute_error: 41.4658
batch 30, time:0.061, loss: 1773.3914, mean_absolute_error: 20.1910
batch 40, time:0.077, loss: 920.2499, mean_absolute_error: 14.9840
batch 50, time:0.085, loss: 712.3491, mean_absolute_error: 14.7440
batch 60, time:0.060, loss: 7969.5986, mean_absolute_error: 66.5617
batch 70, time:0.057, loss: 600.8039, mean_absolute_error: 13.3302
batch 80, time:0.061, loss: 491.2230, mean_absolute_error: 14.2078
batch 90, time:0.063, loss: 4832.4160, mean_absolute_error: 50.6279
batch 100, time:0.062, loss: 384.6613, mean_absolute_error: 9.7264
batch 110, time:0.063, loss: 1020.3022, mean_absolute_error: 22.0190
batch 120, time:0.059, loss: 354.8907, mean_absolute_error: 9.9737
